# Sectional lift coefficient of component: Wing__01
# n_sec : 91 ; n_time : 62. Next lines: y_cen , y_span
  0.463464285714286E-002  0.590392857142857E-002  0.717321428571429E-002  0.844250000000000E-002  0.971178571428571E-002  0.109810714285714E-001  0.122503571428571E-001  0.135196428571429E-001  0.147889285714286E-001  0.160582142857143E-001  0.173275000000000E-001  0.185967857142857E-001  0.198660714285714E-001  0.211353571428571E-001  0.224046428571429E-001  0.236739285714286E-001  0.249432142857143E-001  0.262125000000000E-001  0.274817857142857E-001  0.287510714285714E-001  0.300203571428571E-001  0.312896428571429E-001  0.325589285714286E-001  0.338282142857143E-001  0.350975000000000E-001  0.363667857142857E-001  0.376360714285714E-001  0.389053571428571E-001  0.401746428571429E-001  0.414439285714286E-001  0.427132142857143E-001  0.439825000000000E-001  0.452517857142857E-001  0.465210714285714E-001  0.477903571428571E-001  0.490596428571429E-001  0.503289285714286E-001  0.515982142857143E-001  0.528675000000000E-001  0.541367857142857E-001  0.554060714285714E-001  0.566753571428572E-001  0.579446428571429E-001  0.592139285714286E-001  0.604832142857143E-001  0.617525000000000E-001  0.630217857142857E-001  0.642910714285714E-001  0.655603571428572E-001  0.668296428571429E-001  0.680989285714286E-001  0.693682142857143E-001  0.706375000000000E-001  0.719067857142857E-001  0.731760714285714E-001  0.744453571428572E-001  0.757146428571429E-001  0.769839285714286E-001  0.782532142857143E-001  0.795225000000000E-001  0.807917857142857E-001  0.820610714285715E-001  0.833303571428572E-001  0.845996428571429E-001  0.858689285714286E-001  0.871382142857143E-001  0.884075000000000E-001  0.896767857142858E-001  0.909460714285714E-001  0.922153571428572E-001  0.934846428571429E-001  0.947539285714286E-001  0.960232142857143E-001  0.972925000000000E-001  0.985617857142858E-001  0.998310714285715E-001  0.101100357142857E+000  0.102369642857143E+000  0.103638928571429E+000  0.104908214285714E+000  0.106177500000000E+000  0.107446785714286E+000  0.108716071428571E+000  0.109985357142857E+000  0.111254642857143E+000  0.112523928571429E+000  0.113793214285714E+000  0.115062500000000E+000  0.116331785714286E+000  0.117601071428571E+000  0.118870357142857E+000
  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428570E-002  0.126928571428574E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428570E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428570E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002
# t , Cl(n_sec) 
  0.598000000000000E-001 -0.106416753538692E-001  0.801505225407986E-001  0.181168007539350E+000  0.276354036597800E+000  0.358803407552063E+000  0.429165204357215E+000  0.489930394114833E+000  0.540181464226991E+000  0.593459226788190E+000  0.634450672471873E+000  0.667610999093135E+000  0.695177962586052E+000  0.718561313196321E+000  0.738728849608687E+000  0.757292329716017E+000  0.773652254297010E+000  0.788578914274990E+000  0.802338553383589E+000  0.815110873094674E+000  0.826954415160339E+000  0.837601389712800E+000  0.852040963406022E+000  0.862250413155220E+000  0.872195390428974E+000  0.881540065048190E+000  0.890031085759833E+000  0.897655486049116E+000  0.904317334370795E+000  0.911970201556997E+000  0.919546959522087E+000  0.926344297728301E+000  0.931408249163598E+000  0.936600494031273E+000  0.938888803896581E+000  0.941632735118915E+000  0.949225320474022E+000  0.963954660823194E+000  0.977024298142776E+000  0.989845849589442E+000  0.100178762193099E+001  0.101326716458241E+001  0.102421234734555E+001  0.103485351616086E+001  0.104215697473272E+001  0.104930440826199E+001  0.105621034959568E+001  0.106288305870421E+001  0.106937835946129E+001  0.107579937906955E+001  0.108245499996468E+001  0.108585359842030E+001  0.108965634544576E+001  0.109361668918407E+001  0.109762358715253E+001  0.110163462384484E+001  0.110566667769452E+001  0.110885151091082E+001  0.111013768121472E+001  0.111145388452460E+001  0.111267532235470E+001  0.111376337670522E+001  0.111472812244440E+001  0.111563317274705E+001  0.111646983930950E+001  0.111658069761014E+001  0.111677163483772E+001  0.111682914750747E+001  0.111650382551255E+001  0.111523698969711E+001  0.111196438814861E+001  0.111238599844550E+001  0.111690742005748E+001  0.112483233519810E+001  0.113601117558509E+001  0.114910618014182E+001  0.116227253290168E+001  0.117074307667836E+001  0.117529129833720E+001  0.117600311738948E+001  0.117849625245286E+001  0.118132245028708E+001  0.118748529079137E+001  0.118236641733712E+001  0.116984776028906E+001  0.114742635955776E+001  0.111498891313447E+001  0.107375434770131E+001  0.100480573611743E+001  0.902915317817504E+000  0.756426402265246E+000  0.527857680537207E+000
  0.600000000000000E-001 -0.114517866310786E-001  0.792502344226238E-001  0.180229909225805E+000  0.275462381136971E+000  0.357984343321849E+000  0.428411403075058E+000  0.489240896672154E+000  0.539566885132130E+000  0.592918836132353E+000  0.633977883510241E+000  0.667200391826616E+000  0.694824811329708E+000  0.718261339468521E+000  0.738478074153257E+000  0.757087062078580E+000  0.773489073330648E+000  0.788454667853519E+000  0.802250403080262E+000  0.815056452628541E+000  0.826932221556344E+000  0.837613275522646E+000  0.852082282084605E+000  0.862319000323065E+000  0.872290231636859E+000  0.881662150867075E+000  0.890176771646773E+000  0.897822673686179E+000  0.904504877549865E+000  0.912175654229382E+000  0.919777098158331E+000  0.926582113398264E+000  0.931669887681376E+000  0.936868330533838E+000  0.939170800336948E+000  0.941927356051390E+000  0.949527299162722E+000  0.964270251283616E+000  0.977348698270288E+000  0.990180854831193E+000  0.100213167905095E+001  0.101362032397475E+001  0.102457389570845E+001  0.103522296964119E+001  0.104253218855280E+001  0.104968714052259E+001  0.105660157439215E+001  0.106328339616846E+001  0.106978826556463E+001  0.107621919353105E+001  0.108288554890450E+001  0.108629374324101E+001  0.109010592853972E+001  0.109407520844422E+001  0.109809008202711E+001  0.110210744266886E+001  0.110614297218698E+001  0.110932577443489E+001  0.111059872407716E+001  0.111191191435749E+001  0.111313561416876E+001  0.111422827918334E+001  0.111519839427253E+001  0.111610813787472E+001  0.111694733460771E+001  0.111705450612240E+001  0.111723043187411E+001  0.111724951178954E+001  0.111682842741913E+001  0.111528064693701E+001  0.111203574889879E+001  0.111277118123549E+001  0.111744987642273E+001  0.112556576850805E+001  0.113680346194025E+001  0.114986397709457E+001  0.116287356241706E+001  0.117107753303970E+001  0.117549941738186E+001  0.117609720765155E+001  0.117847538783847E+001  0.118117576623981E+001  0.118709289470615E+001  0.118183211517366E+001  0.116922146398258E+001  0.114672487486508E+001  0.111437339629437E+001  0.107307758030843E+001  0.100411398573950E+001  0.902278551003547E+000  0.755908487663471E+000  0.527509871456338E+000
  0.602000000000000E-001 -0.127483300526741E-001  0.778307816325496E-001  0.178758252125151E+000  0.274081722590373E+000  0.356736867740768E+000  0.427278507547583E+000  0.488216592187259E+000  0.538671632251597E+000  0.592139948817995E+000  0.633304430855574E+000  0.666622592134051E+000  0.694333408178865E+000  0.717847481185699E+000  0.738133330267741E+000  0.756803556413203E+000  0.773259723621116E+000  0.788273145573262E+000  0.802111257162259E+000  0.814955316280023E+000  0.826866318349132E+000  0.837584968492025E+000  0.852084468350402E+000  0.862348288608860E+000  0.872345078964910E+000  0.881743504340263E+000  0.890280177114680E+000  0.897945667454744E+000  0.904646010882032E+000  0.912332673012845E+000  0.919955796722802E+000  0.926766942815095E+000  0.931875435713181E+000  0.937077744865662E+000  0.939392388780822E+000  0.942157981016843E+000  0.949763784567200E+000  0.964517386352448E+000  0.977602676708332E+000  0.990442851193809E+000  0.100240036264961E+001  0.101389559265809E+001  0.102485506176726E+001  0.103550953853190E+001  0.104282281684480E+001  0.104998274842816E+001  0.105690289636462E+001  0.106359088783373E+001  0.107010224727340E+001  0.107653986590523E+001  0.108321340458266E+001  0.108662802947416E+001  0.109044682485833E+001  0.109442260092696E+001  0.109844352643714E+001  0.110246601990049E+001  0.110650493749108E+001  0.110968748134856E+001  0.111095780390072E+001  0.111227082432184E+001  0.111349689343373E+001  0.111459254794037E+001  0.111556507079163E+001  0.111647557244669E+001  0.111731305226420E+001  0.111741444649587E+001  0.111757943430295E+001  0.111758095987071E+001  0.111713411429039E+001  0.111558235626077E+001  0.111231497994960E+001  0.111295016910067E+001  0.111755042177819E+001  0.112554678155174E+001  0.113670178923884E+001  0.114971334425466E+001  0.116274023000968E+001  0.117103351201393E+001  0.117547648535274E+001  0.117610439971011E+001  0.117852881339253E+001  0.118130297741641E+001  0.118741940013633E+001  0.118229624834765E+001  0.116979715999877E+001  0.114741214289333E+001  0.111500191562146E+001  0.107382722925910E+001  0.100493818760695E+001  0.903084946109602E+000  0.756600817154965E+000  0.528000787492159E+000
  0.604000000000000E-001 -0.139412129007882E-001  0.764803595302216E-001  0.177332225215306E+000  0.272711188117689E+000  0.355464753156610E+000  0.426095921459028E+000  0.487122413551606E+000  0.537685510388028E+000  0.591258109509879E+000  0.632520053739242E+000  0.665926561575548E+000  0.693715801690045E+000  0.717298425973813E+000  0.737643565016025E+000  0.756364823145311E+000  0.772864878533943E+000  0.787916218276998E+000  0.801787336103455E+000  0.814660495534457E+000  0.826597762147447E+000  0.837342311116943E+000  0.851864387254855E+000  0.862148393309361E+000  0.872164221115566E+000  0.881581316311496E+000  0.890134764889983E+000  0.897815626916692E+000  0.904530057115374E+000  0.912229848097175E+000  0.919865681207314E+000  0.926686163614392E+000  0.931805401171569E+000  0.937013555473465E+000  0.939335421512191E+000  0.942105070098216E+000  0.949714698753143E+000  0.964471605550465E+000  0.977558684573742E+000  0.990399473085309E+000  0.100235621362168E+001  0.101384940218780E+001  0.102480545581332E+001  0.103545519346971E+001  0.104276315458864E+001  0.104991572138135E+001  0.105682717426909E+001  0.106350506515730E+001  0.107000482962615E+001  0.107642922115395E+001  0.108308765937724E+001  0.108648581507542E+001  0.109028708679484E+001  0.109424426972532E+001  0.109824567679778E+001  0.110224805086955E+001  0.110626687850595E+001  0.110943081367205E+001  0.111069565359752E+001  0.111198828017263E+001  0.111318851672968E+001  0.111425488105469E+001  0.111519585465991E+001  0.111607381340842E+001  0.111687924150523E+001  0.111695335736167E+001  0.111710119334717E+001  0.111710732106596E+001  0.111671802367385E+001  0.111541064147347E+001  0.111207771613781E+001  0.111242495049114E+001  0.111689079946048E+001  0.112474863436658E+001  0.113587994302186E+001  0.114894736934001E+001  0.116211394274596E+001  0.117060134922699E+001  0.117517330438401E+001  0.117592277804759E+001  0.117847202603197E+001  0.118138436279189E+001  0.118779166077659E+001  0.118280415998678E+001  0.117038455042720E+001  0.114806509099138E+001  0.111557092264367E+001  0.107445759239881E+001  0.100558962380798E+001  0.903696383056520E+000  0.757111014427942E+000  0.528353380567933E+000
  0.606000000000000E-001 -0.153352178276791E-001  0.749169361102939E-001  0.175678430184392E+000  0.271122932698417E+000  0.353990456117292E+000  0.424716655064390E+000  0.485829283584341E+000  0.536491488608936E+000  0.590160423073687E+000  0.631511557237979E+000  0.664997483895104E+000  0.692856193960190E+000  0.716499241878023E+000  0.736896990498190E+000  0.755664183916548E+000  0.772204453971602E+000  0.787291042192446E+000  0.801192907244945E+000  0.814092517144107E+000  0.826051663487840E+000  0.836810601398639E+000  0.851349704774877E+000  0.861649926263793E+000  0.871680646443865E+000  0.881109750897081E+000  0.889676536987797E+000  0.897370498381900E+000  0.904097010326645E+000  0.911809230710916E+000  0.919450885382241E+000  0.926287342405164E+000  0.931410351514029E+000  0.936631925250247E+000  0.938960296159573E+000  0.941736723992435E+000  0.949354698382954E+000  0.964116663642284E+000  0.977210059738079E+000  0.990055697222441E+000  0.100201716907334E+001  0.101351446246154E+001  0.102447426400247E+001  0.103512734691080E+001  0.104243972107392E+001  0.104959539304968E+001  0.105650967998179E+001  0.106319038999606E+001  0.106969312181587E+001  0.107612069286214E+001  0.108278230128440E+001  0.108618499220031E+001  0.108999225202845E+001  0.109395702169102E+001  0.109796778582062E+001  0.110198141773407E+001  0.110601341416873E+001  0.110919239278587E+001  0.111047345286187E+001  0.111178476740852E+001  0.111300655192846E+001  0.111409749070845E+001  0.111506595796359E+001  0.111597377446475E+001  0.111681014949082E+001  0.111691441060441E+001  0.111708696163162E+001  0.111710219515188E+001  0.111667839034996E+001  0.111516429711968E+001  0.111189807474864E+001  0.111256905003315E+001  0.111721111435132E+001  0.112528148390114E+001  0.113650295833354E+001  0.114957585542548E+001  0.116263404310659E+001  0.117090690753554E+001  0.117540314042139E+001  0.117608902946326E+001  0.117857686296523E+001  0.118142809138494E+001  0.118775444885104E+001  0.118270499931468E+001  0.117024458596076E+001  0.114789452655778E+001  0.111542517251343E+001  0.107429636059914E+001  0.100542630662886E+001  0.903551854882334E+000  0.757000085201537E+000  0.528283529075397E+000
  0.608000000000000E-001 -0.165602720919448E-001  0.735445005607572E-001  0.174241845729940E+000  0.269750752010165E+000  0.352719789463463E+000  0.423532612942360E+000  0.484720905494493E+000  0.535455794810873E+000  0.589194845061666E+000  0.630610483999324E+000  0.664152976574543E+000  0.692060695485314E+000  0.715746222967450E+000  0.736180912076818E+000  0.754980215627923E+000  0.771548328190389E+000  0.786658945736836E+000  0.800581329214480E+000  0.813498115508956E+000  0.825470983119828E+000  0.836238272540679E+000  0.850787702961940E+000  0.861097844712180E+000  0.871137670597134E+000  0.880574128658120E+000  0.889149640008319E+000  0.896852608993653E+000  0.903587949380042E+000  0.911309572204453E+000  0.918956830845106E+000  0.925806155603658E+000  0.930934637709738E+000  0.936169490431853E+000  0.938505891126001E+000  0.941293342106716E+000  0.948921957834928E+000  0.963694404351564E+000  0.976798919723358E+000  0.989656264586320E+000  0.100162981277876E+001  0.101313970326841E+001  0.102411245167698E+001  0.103477881338928E+001  0.104210531986609E+001  0.104927540405442E+001  0.105620459822057E+001  0.106290069539851E+001  0.106941921904353E+001  0.107586281864672E+001  0.108254056320778E+001  0.108595991307111E+001  0.108978406278764E+001  0.109376566168841E+001  0.109779281593399E+001  0.110182181355184E+001  0.110586700910704E+001  0.110905455391662E+001  0.111034785564118E+001  0.111167264007156E+001  0.111290806286430E+001  0.111401218256086E+001  0.111499284603177E+001  0.111591132703394E+001  0.111675643638322E+001  0.111686670273591E+001  0.111704139895415E+001  0.111705238370530E+001  0.111661049697551E+001  0.111504929493486E+001  0.111180497576211E+001  0.111253658931553E+001  0.111722140526571E+001  0.112534115750493E+001  0.113659734709108E+001  0.114969354662998E+001  0.116275092622323E+001  0.117097840600465E+001  0.117547523911753E+001  0.117616454393895E+001  0.117865728823995E+001  0.118152284582807E+001  0.118794198667263E+001  0.118290868030754E+001  0.117044662174022E+001  0.114809661445765E+001  0.111557525739252E+001  0.107445534029434E+001  0.100558630228407E+001  0.903697225322357E+000  0.757116904261165E+000  0.528362427492453E+000
  0.610000000000000E-001 -0.175791135741294E-001  0.724239013371732E-001  0.173086629324958E+000  0.268667197644674E+000  0.351735061801539E+000  0.422628690800600E+000  0.483881762104074E+000  0.534665727905401E+000  0.588458041573447E+000  0.629924724124299E+000  0.663512408811500E+000  0.691458781816436E+000  0.715176676913577E+000  0.735638013582870E+000  0.754458851638563E+000  0.771043924307553E+000  0.786167569323462E+000  0.800099565620472E+000  0.813022954691311E+000  0.824999624485586E+000  0.835767043713088E+000  0.850317604482071E+000  0.860628066924098E+000  0.870667454888399E+000  0.880102287995330E+000  0.888677402401624E+000  0.896380603275905E+000  0.903116603462267E+000  0.910839833223800E+000  0.918486339356102E+000  0.925341485681440E+000  0.930470606705577E+000  0.935713680892805E+000  0.938054337809759E+000  0.940850004358170E+000  0.948486201385341E+000  0.963266490855907E+000  0.976379552154903E+000  0.989246500644351E+000  0.100123009666238E+001  0.101275067165921E+001  0.102373444055082E+001  0.103441223428001E+001  0.104175094097773E+001  0.104893310458741E+001  0.105587441401573E+001  0.106258263782381E+001  0.106911323060773E+001  0.107556872387710E+001  0.108225826741835E+001  0.108568968892509E+001  0.108952579658814E+001  0.109351914254855E+001  0.109755771481919E+001  0.110159763160027E+001  0.110565294894258E+001  0.110885050256279E+001  0.111015316947390E+001  0.111148707402861E+001  0.111273110190430E+001  0.111384313021337E+001  0.111483086998142E+001  0.111575550664327E+001  0.111660602837199E+001  0.111672118578498E+001  0.111690058815145E+001  0.111691672370151E+001  0.111648121722610E+001  0.111494199903421E+001  0.111170650827151E+001  0.111245450986145E+001  0.111717307092891E+001  0.112534628469817E+001  0.113666113820285E+001  0.114981435038070E+001  0.116290142033571E+001  0.117109291578821E+001  0.117560903159788E+001  0.117631549197343E+001  0.117882002777269E+001  0.118170213284720E+001  0.118823164161982E+001  0.118320331186887E+001  0.117072398115087E+001  0.114835985498646E+001  0.111577206524220E+001  0.107465272091706E+001  0.100577722013908E+001  0.903867472887815E+000  0.757252885575814E+000  0.528453793094685E+000
