# Sectional load Fz of component: Wing__02
# n_sec : 91 ; n_time : 62. Next lines: y_cen , y_span
  0.463464285714286E-002  0.590392857142857E-002  0.717321428571429E-002  0.844250000000000E-002  0.971178571428571E-002  0.109810714285714E-001  0.122503571428571E-001  0.135196428571429E-001  0.147889285714286E-001  0.160582142857143E-001  0.173275000000000E-001  0.185967857142857E-001  0.198660714285714E-001  0.211353571428571E-001  0.224046428571429E-001  0.236739285714286E-001  0.249432142857143E-001  0.262125000000000E-001  0.274817857142857E-001  0.287510714285714E-001  0.300203571428571E-001  0.312896428571429E-001  0.325589285714286E-001  0.338282142857143E-001  0.350975000000000E-001  0.363667857142857E-001  0.376360714285714E-001  0.389053571428571E-001  0.401746428571429E-001  0.414439285714286E-001  0.427132142857143E-001  0.439825000000000E-001  0.452517857142857E-001  0.465210714285714E-001  0.477903571428571E-001  0.490596428571429E-001  0.503289285714286E-001  0.515982142857143E-001  0.528675000000000E-001  0.541367857142857E-001  0.554060714285714E-001  0.566753571428572E-001  0.579446428571429E-001  0.592139285714286E-001  0.604832142857143E-001  0.617525000000000E-001  0.630217857142857E-001  0.642910714285714E-001  0.655603571428572E-001  0.668296428571429E-001  0.680989285714286E-001  0.693682142857143E-001  0.706375000000000E-001  0.719067857142857E-001  0.731760714285714E-001  0.744453571428572E-001  0.757146428571429E-001  0.769839285714286E-001  0.782532142857143E-001  0.795225000000000E-001  0.807917857142857E-001  0.820610714285715E-001  0.833303571428572E-001  0.845996428571429E-001  0.858689285714286E-001  0.871382142857143E-001  0.884075000000000E-001  0.896767857142858E-001  0.909460714285714E-001  0.922153571428572E-001  0.934846428571429E-001  0.947539285714286E-001  0.960232142857143E-001  0.972925000000000E-001  0.985617857142858E-001  0.998310714285715E-001  0.101100357142857E+000  0.102369642857143E+000  0.103638928571429E+000  0.104908214285714E+000  0.106177500000000E+000  0.107446785714286E+000  0.108716071428571E+000  0.109985357142857E+000  0.111254642857143E+000  0.112523928571429E+000  0.113793214285714E+000  0.115062500000000E+000  0.116331785714286E+000  0.117601071428571E+000  0.118870357142857E+000
  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428570E-002  0.126928571428574E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428570E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428571E-002  0.126928571428572E-002  0.126928571428570E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428572E-002  0.126928571428571E-002
# t , sec(n_sec) , ref_mat(9) , ref_off(3) 
  0.598000000000000E-001 -0.176236335187502E-001  0.964385523398920E-002  0.725614166388936E-001  0.176970064454383E+000  0.321651013837810E+000  0.510245164137596E+000  0.746708796718743E+000  0.101940708022320E+001  0.131656055790845E+001  0.163572412443422E+001  0.198074536453536E+001  0.235327923225409E+001  0.275444681268317E+001  0.318518735891912E+001  0.364658820179618E+001  0.413909392240310E+001  0.466440662331179E+001  0.522341656089097E+001  0.581685299546600E+001  0.644489254657208E+001  0.710566017443986E+001  0.780249074959848E+001  0.852758871136752E+001  0.928886889643747E+001  0.100833860165988E+002  0.109076565699165E+002  0.117608588115463E+002  0.126399592886145E+002  0.135444564010375E+002  0.144590465392685E+002  0.154192516710481E+002  0.163400024193118E+002  0.173624093004018E+002  0.182803703583797E+002  0.193138162112873E+002  0.202355281011294E+002  0.212109392358440E+002  0.221258920270612E+002  0.230570127150978E+002  0.239597693328776E+002  0.248543397188269E+002  0.257302514014759E+002  0.265958875185581E+002  0.274437415676583E+002  0.282799566711664E+002  0.290998987379653E+002  0.299019483931382E+002  0.306858182562452E+002  0.314528331754174E+002  0.322091770216079E+002  0.329554111911820E+002  0.336981213441180E+002  0.344292598769249E+002  0.351444364632473E+002  0.358411912755954E+002  0.365189401023868E+002  0.371790440483595E+002  0.378229199758512E+002  0.384472001183849E+002  0.390470792312538E+002  0.396201406913846E+002  0.401655117655363E+002  0.406841644611636E+002  0.411782196207551E+002  0.416540217188878E+002  0.421060101760301E+002  0.425249689023377E+002  0.429009833081966E+002  0.432171350586974E+002  0.434295158857809E+002  0.435937738671648E+002  0.438150394912725E+002  0.441076051841092E+002  0.444683617432144E+002  0.448526138927193E+002  0.452019428600802E+002  0.455094269032182E+002  0.460653186513202E+002  0.468865246242867E+002  0.478272646946163E+002  0.488216400797925E+002  0.498248757798117E+002  0.505516729939596E+002  0.509572326028452E+002  0.509875616742283E+002  0.506088720895351E+002  0.497120408826389E+002  0.475345952537241E+002  0.436469141901243E+002  0.373419211243943E+002  0.265836919623006E+002 -0.770513244404264E+000  0.637423987780202E+000  0.000000000000000E+000 -0.637423987780202E+000 -0.770513244404264E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.600000000000000E-001 -0.171559530433004E-001  0.104539248249744E-001  0.738799287762637E-001  0.178722049669730E+000  0.323787313338127E+000  0.512820701290601E+000  0.749743191753128E+000  0.102280777404947E+001  0.132021496890773E+001  0.163958220622088E+001  0.198476569874649E+001  0.235742576709035E+001  0.275868860237534E+001  0.318949876470210E+001  0.365094816247293E+001  0.414348738207225E+001  0.466882511512127E+001  0.522785712250327E+001  0.582131830957763E+001  0.644939253526668E+001  0.711022826588587E+001  0.780709732746095E+001  0.853222608590934E+001  0.929353627382608E+001  0.100880900545164E+002  0.109123834697719E+002  0.117656032631552E+002  0.126447102870407E+002  0.135492341405910E+002  0.144637624921078E+002  0.154240876656680E+002  0.163446909137677E+002  0.173671700084642E+002  0.182851055174640E+002  0.193184585111811E+002  0.202402332558555E+002  0.212155261412728E+002  0.221304782741174E+002  0.230615316510116E+002  0.239642617814389E+002  0.248587953474937E+002  0.257346870398465E+002  0.266003155742228E+002  0.274481468403889E+002  0.282843944564303E+002  0.291043960849672E+002  0.299065387678131E+002  0.306905429923023E+002  0.314577428868125E+002  0.322143363642692E+002  0.329608978081990E+002  0.337040232081293E+002  0.344356796996854E+002  0.351514908022582E+002  0.358490063966869E+002  0.365276396801918E+002  0.371887172950381E+002  0.378333671958689E+002  0.384590281050139E+002  0.390606698226178E+002  0.396358607947928E+002  0.401837169052570E+002  0.407051662475434E+002  0.412022153049454E+002  0.416809936989834E+002  0.421354738412975E+002  0.425554623266996E+002  0.429285833893427E+002  0.432286046159702E+002  0.434298515408835E+002  0.436281923586480E+002  0.438671834533700E+002  0.441785276240906E+002  0.445448522848390E+002  0.449257283535591E+002  0.452630040090371E+002  0.455551509105699E+002  0.461025821910116E+002  0.469164948679197E+002  0.478494374003686E+002  0.488336406564185E+002  0.498174448824556E+002  0.505343348418102E+002  0.509350158073844E+002  0.509621763510815E+002  0.505900288731726E+002  0.496914761201813E+002  0.475130129164980E+002  0.436275518150695E+002  0.373270758118014E+002  0.265743256930736E+002 -0.866025405066098E+000  0.499999997780101E+000  0.000000000000000E+000 -0.499999997780101E+000 -0.866025405066098E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.602000000000000E-001 -0.168155188715886E-001  0.110670293035129E-001  0.749225890020757E-001  0.180139688141689E+000  0.325547641725663E+000  0.514978354241253E+000  0.752321608251207E+000  0.102574558653744E+001  0.132343352371566E+001  0.164304475150578E+001  0.198844745765674E+001  0.236130820226420E+001  0.276275805286930E+001  0.319374579636677E+001  0.365536641556348E+001  0.414807453307306E+001  0.467358339014957E+001  0.523279271863122E+001  0.582644244147221E+001  0.645472503317023E+001  0.711582304086231E+001  0.781292621223185E+001  0.853828715482141E+001  0.929983913781326E+001  0.100946638178656E+002  0.109192106652160E+002  0.117726823043625E+002  0.126520388200862E+002  0.135568307885019E+002  0.144715686335658E+002  0.154322468701361E+002  0.163529778042968E+002  0.173757676162765E+002  0.182939316185035E+002  0.193274547743502E+002  0.202495187081574E+002  0.212249201641957E+002  0.221400744449954E+002  0.230712709906740E+002  0.239741730289323E+002  0.248688638837056E+002  0.257449170275231E+002  0.266107054113205E+002  0.274586642313806E+002  0.282950863986169E+002  0.291152831187885E+002  0.299176347495450E+002  0.307018576903172E+002  0.314692827576194E+002  0.322261132650736E+002  0.329728976031915E+002  0.337162163193240E+002  0.344480198643334E+002  0.351639086817163E+002  0.358614008213226E+002  0.365398626854691E+002  0.372005408361288E+002  0.378443409831900E+002  0.384693905550691E+002  0.390704174922387E+002  0.396448905896835E+002  0.401918690768716E+002  0.407122473717448E+002  0.412080240986912E+002  0.416853431131745E+002  0.421382807214977E+002  0.425568701919473E+002  0.429292793664290E+002  0.432319650442497E+002  0.434388062295111E+002  0.436251347463952E+002  0.438587782836603E+002  0.441635245313578E+002  0.445284273200357E+002  0.449112244818481E+002  0.452539798279231E+002  0.455531249204880E+002  0.461040642238193E+002  0.469210113380475E+002  0.478569748350669E+002  0.488446839314270E+002  0.498358531360747E+002  0.505561494506336E+002  0.509585832613430E+002  0.509870923748271E+002  0.506122211320643E+002  0.497144904719967E+002  0.475359161588419E+002  0.436485585856995E+002  0.373444842632962E+002  0.265863366716730E+002 -0.937281990388371E+000  0.348572044911254E+000  0.000000000000000E+000 -0.348572044911254E+000 -0.937281990388371E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.604000000000000E-001 -0.164802490793619E-001  0.116621256922330E-001  0.759396843543572E-001  0.181512300670245E+000  0.327234751256903E+000  0.517035346267553E+000  0.754774486317063E+000  0.102854782567400E+001  0.132652155745343E+001  0.164639117572996E+001  0.199203913047457E+001  0.236513916666047E+001  0.276682742183409E+001  0.319805653954586E+001  0.365992396182128E+001  0.415288745162300E+001  0.467866377704913E+001  0.523815582950762E+001  0.583210818014916E+001  0.646072266442860E+001  0.712222263292612E+001  0.781969879566302E+001  0.854543477195667E+001  0.930737767636051E+001  0.101026332746462E+002  0.109275917768650E+002  0.117814739890322E+002  0.126612448686797E+002  0.135664528791698E+002  0.144816045030706E+002  0.154427200470631E+002  0.163638228065571E+002  0.173870170956281E+002  0.183055766582791E+002  0.193394389653143E+002  0.202618750767439E+002  0.212375255283173E+002  0.221529557043578E+002  0.230843829526608E+002  0.239875106394021E+002  0.248823988754179E+002  0.257586273678357E+002  0.266245641353491E+002  0.274726354105252E+002  0.283091663089597E+002  0.291294620884815E+002  0.299318939590548E+002  0.307161732790571E+002  0.314836283975523E+002  0.322404667076169E+002  0.329872159993497E+002  0.337304504273814E+002  0.344621149805389E+002  0.351778042846388E+002  0.358750296799171E+002  0.365531476258910E+002  0.372133807699902E+002  0.378566198859565E+002  0.384812010541235E+002  0.390818286751532E+002  0.396559414279153E+002  0.402025924492597E+002  0.407226795810189E+002  0.412182092787423E+002  0.416953136269149E+002  0.421480730633792E+002  0.425665110830147E+002  0.429387542151608E+002  0.432413506072964E+002  0.434480592524696E+002  0.436349835265233E+002  0.438691366023182E+002  0.441746748905908E+002  0.445402585779501E+002  0.449236667548910E+002  0.452666842132783E+002  0.455655513263658E+002  0.461169470678583E+002  0.469344934886743E+002  0.478711732847288E+002  0.488599664471750E+002  0.498534292420857E+002  0.505746160002224E+002  0.509771040089353E+002  0.510053029138583E+002  0.506286743546640E+002  0.497302909726044E+002  0.475507539678519E+002  0.436615780903363E+002  0.373548854089377E+002  0.265932038578358E+002 -0.982287251212208E+000  0.187381312051030E+000  0.000000000000000E+000 -0.187381312051030E+000 -0.982287251212208E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.606000000000000E-001 -0.164850075719928E-001  0.117095141360696E-001  0.761441965193493E-001  0.181861787237325E+000  0.327730548205348E+000  0.517718192719140E+000  0.755668394049321E+000  0.102967121708912E+001  0.132788051662877E+001  0.164797510484761E+001  0.199385208830320E+001  0.236719165278805E+001  0.276913412446841E+001  0.320063490658617E+001  0.366279323590100E+001  0.415606842143691E+001  0.468217808553710E+001  0.524202554556431E+001  0.583635573790316E+001  0.646537095526881E+001  0.712729618817135E+001  0.782521517589033E+001  0.855141415320606E+001  0.931384330175582E+001  0.101096121006118E+002  0.109350949891588E+002  0.117895140905818E+002  0.126698393309865E+002  0.135755930977741E+002  0.144913525657880E+002  0.154529707741176E+002  0.163747236641002E+002  0.173984216395702E+002  0.183175942599521E+002  0.193520050172487E+002  0.202749631792303E+002  0.212510963031718E+002  0.221669884229453E+002  0.230988613233983E+002  0.240024194336288E+002  0.248977211765482E+002  0.257743465083709E+002  0.266406643289636E+002  0.274891158360656E+002  0.283260151541530E+002  0.291466834013844E+002  0.299494876709155E+002  0.307341384792415E+002  0.315019653919412E+002  0.322591820104693E+002  0.330063066694660E+002  0.337499079725378E+002  0.344819241863662E+002  0.351979409186133E+002  0.358954556549021E+002  0.365738006055194E+002  0.372341460172659E+002  0.378773074880616E+002  0.385019578034004E+002  0.391027414295296E+002  0.396770350786468E+002  0.402238515881584E+002  0.407440459758019E+002  0.412395632976954E+002  0.417164302731829E+002  0.421685483096943E+002  0.425855716831607E+002  0.429546330649376E+002  0.432493772832951E+002  0.434562233288010E+002  0.436502898199306E+002  0.438882309276364E+002  0.441978856900571E+002  0.445642803920728E+002  0.449459008061795E+002  0.452840897672179E+002  0.455765263206980E+002  0.461243701852705E+002  0.469388223873588E+002  0.478725228421619E+002  0.488577184586099E+002  0.498447396401565E+002  0.505611188147571E+002  0.509598482363261E+002  0.509846852178273E+002  0.506093018126090E+002  0.497076848824963E+002  0.475254955277666E+002  0.436366376945601E+002  0.373333035802818E+002  0.265778374795864E+002 -0.999780683529064E+000  0.209424172949794E-001  0.000000000000000E+000 -0.209424172949794E-001 -0.999780683529064E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.608000000000000E-001 -0.166436211317406E-001  0.115095348196301E-001  0.759826894470201E-001  0.181754502067520E+000  0.327699021482677E+000  0.517803823567176E+000  0.755905818868965E+000  0.103012905131596E+001  0.132857910799993E+001  0.164891130218157E+001  0.199503668475601E+001  0.236864039455824E+001  0.277086494941943E+001  0.320266633123387E+001  0.366514362021806E+001  0.415875653442589E+001  0.468522216007276E+001  0.524544385160474E+001  0.584016772203913E+001  0.646959982922936E+001  0.713198376450752E+001  0.783035779377657E+001  0.855702642853092E+001  0.931994655364416E+001  0.101162391784073E+002  0.109422451553576E+002  0.117971938217635E+002  0.126780627256911E+002  0.135843444948826E+002  0.145007070514323E+002  0.154627875621490E+002  0.163851948269322E+002  0.174093519447543E+002  0.183291149622654E+002  0.193640547673279E+002  0.202874932344829E+002  0.212641057447868E+002  0.221804391558121E+002  0.231127453322058E+002  0.240167172775453E+002  0.249124175358868E+002  0.257894247353965E+002  0.266561094012003E+002  0.275049426745702E+002  0.283421954483492E+002  0.291632120984156E+002  0.299663576124335E+002  0.307513422431278E+002  0.315194964020512E+002  0.322770351263675E+002  0.330244865782785E+002  0.337684177341341E+002  0.345007633570642E+002  0.352171073720789E+002  0.359149460348877E+002  0.365936097502933E+002  0.372542627572422E+002  0.378978124482496E+002  0.385227841919003E+002  0.391239116564667E+002  0.396985631353934E+002  0.402457459534045E+002  0.407663090828832E+002  0.412621877496003E+002  0.417394081962520E+002  0.421918455104599E+002  0.426091249626946E+002  0.429783489317345E+002  0.432743846198067E+002  0.434809600702280E+002  0.436729600463291E+002  0.439097610064535E+002  0.442172101838372E+002  0.445818995500140E+002  0.449619610546216E+002  0.452992349020135E+002  0.455913723918019E+002  0.461374442740931E+002  0.469501735218187E+002  0.478823617941958E+002  0.488668775999396E+002  0.498560852062051E+002  0.505741195330105E+002  0.509744503404383E+002  0.510014076267694E+002  0.506243170158216E+002  0.497261694577197E+002  0.475473706269694E+002  0.436592492527349E+002  0.373536202237502E+002  0.265929262662559E+002 -0.989272332583539E+000 -0.146083031132036E+000  0.000000000000000E+000  0.146083031132036E+000 -0.989272332583539E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.610000000000000E-001 -0.170820196173836E-001  0.108447895414140E-001  0.751111874423537E-001  0.180733514642617E+000  0.326580474163384E+000  0.516637827057173E+000  0.754656245522595E+000  0.102895063733086E+001  0.132754670070129E+001  0.164803678630439E+001  0.199433989139682E+001  0.236814091043704E+001  0.277058009388290E+001  0.320261045453240E+001  0.366532901712507E+001  0.415919439055091E+001  0.468592125047824E+001  0.524641190079515E+001  0.584141195124295E+001  0.647112708836119E+001  0.713379943354491E+001  0.783246920400345E+001  0.855944585290901E+001  0.932268609002855E+001  0.101193070591167E+002  0.109456498124235E+002  0.118009388194799E+002  0.126821560019582E+002  0.135887602307083E+002  0.145055295083199E+002  0.154678206214242E+002  0.163907084369143E+002  0.174150597652986E+002  0.183351992715121E+002  0.193704114039171E+002  0.202940805104090E+002  0.212709535008531E+002  0.221874899155492E+002  0.231199716493648E+002  0.240240787421686E+002  0.249198748138685E+002  0.257969373468059E+002  0.266636342667374E+002  0.275124717648686E+002  0.283496422479430E+002  0.291705094177478E+002  0.299734376327508E+002  0.307581342422009E+002  0.315259251646264E+002  0.322830101588249E+002  0.330299449363625E+002  0.337733012534738E+002  0.345050125091060E+002  0.352206695469124E+002  0.359177863314803E+002  0.365957317350595E+002  0.372557560785452E+002  0.378991253092876E+002  0.385232657436179E+002  0.391232327284157E+002  0.396964929739538E+002  0.402421119544143E+002  0.407610004606982E+002  0.412551780724025E+002  0.417308553096376E+002  0.421821843894416E+002  0.425993778769800E+002  0.429711357150597E+002  0.432777381368545E+002  0.434799886083465E+002  0.436575482556779E+002  0.438857422822905E+002  0.441846589574464E+002  0.445456689347671E+002  0.449256997163538E+002  0.452667977877148E+002  0.455648218629009E+002  0.461140950794397E+002  0.469297399366184E+002  0.478654556585426E+002  0.488550394493721E+002  0.498528959122741E+002  0.505773764645092E+002  0.509825737396945E+002  0.510136568599092E+002  0.506362110406987E+002  0.497417517551232E+002  0.475665373000939E+002  0.436792105339031E+002  0.373715322269600E+002  0.266060939475217E+002 -0.951056515489842E+000 -0.309016996853440E+000  0.000000000000000E+000  0.309016996853440E+000 -0.951056515489842E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.612000000000000E-001 -0.176417946228267E-001  0.995602305063361E-002  0.738596151800293E-001  0.179182069538091E+000  0.324776034425603E+000  0.514571978157827E+000  0.752362717891824E+000  0.102656645524452E+001  0.132516181637884E+001  0.164565759225828E+001  0.199197762894667E+001  0.236580603086475E+001  0.276828161631928E+001  0.320035592049537E+001  0.366312604533906E+001  0.415704992426437E+001  0.468383873641995E+001  0.524439146535864E+001  0.583944817341920E+001  0.646920265938623E+001  0.713184632630874E+001  0.783053230144231E+001  0.855754011129624E+001  0.932081164340744E+001  0.101174312998235E+002  0.109438052286970E+002  0.117991322169198E+002  0.126803903333019E+002  0.135870183445688E+002  0.145038715214876E+002  0.154660921313434E+002  0.163891578506239E+002  0.174134348258263E+002  0.183336977100148E+002  0.193689080667108E+002  0.202926251844584E+002  0.212695905524071E+002  0.221862165605867E+002  0.231187636198432E+002  0.240229302745920E+002  0.249187683222060E+002  0.257958635513143E+002  0.266625783757295E+002  0.275114407575465E+002  0.283486029689474E+002  0.291694355090353E+002  0.299723114317412E+002  0.307569428738453E+002  0.315246572780717E+002  0.322816457813537E+002  0.330285035444528E+002  0.337718197683034E+002  0.345035329959244E+002  0.352192431706016E+002  0.359164756450105E+002  0.365946131314788E+002  0.372549245787980E+002  0.378986687860810E+002  0.385231861220754E+002  0.391235462761067E+002  0.396972561776483E+002  0.402433966421773E+002  0.407628746929852E+002  0.412576817442825E+002  0.417339806302818E+002  0.421857898589578E+002  0.426030249052534E+002  0.429735823314127E+002  0.432735825817013E+002  0.434774375422300E+002  0.436641093053722E+002  0.438970974347313E+002  0.442016746987892E+002  0.445647228784824E+002  0.449442135675064E+002  0.452816381404192E+002  0.455740553701114E+002  0.461208444540872E+002  0.469343297593879E+002  0.478678806901091E+002  0.488550128587788E+002  0.498482797474644E+002  0.505699061795625E+002  0.509731324629285E+002  0.510024639764837E+002  0.506263183569703E+002  0.497305424152445E+002  0.475547542296637E+002  0.436681702022595E+002  0.373624250292897E+002  0.265998662336246E+002 -0.886203578019887E+000 -0.463296037436917E+000  0.000000000000000E+000  0.463296037436917E+000 -0.886203578019887E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.614000000000000E-001 -0.182224277227194E-001  0.901437651935661E-002  0.725023383192035E-001  0.177477634540501E+000  0.322773958809723E+000  0.512261572505873E+000  0.749778309661205E+000  0.102382935886276E+001  0.132236202178965E+001  0.164279888553179E+001  0.198906388154597E+001  0.236283952799593E+001  0.276526331977235E+001  0.319728542438014E+001  0.366000297380508E+001  0.415387242035799E+001  0.468060097293112E+001  0.524108400596969E+001  0.583605616556131E+001  0.646570043736121E+001  0.712816345249904E+001  0.782670369571355E+001  0.855357247427482E+001  0.931669925030720E+001  0.101131417234226E+002  0.109393651186451E+002  0.117945486900620E+002  0.126756631184719E+002  0.135821625198315E+002  0.144988798904736E+002  0.154609946478901E+002  0.163839640132877E+002  0.174081391648150E+002  0.183283788480212E+002  0.193634763655393E+002  0.202872462292899E+002  0.212642478315750E+002  0.221809982350159E+002  0.231136432638803E+002  0.240179498456006E+002  0.249139338302454E+002  0.257911973412541E+002  0.266580920897098E+002  0.275071374832870E+002  0.283445206469238E+002  0.291655938498790E+002  0.299687326098216E+002  0.307536486458521E+002  0.315216650097961E+002  0.322789674075600E+002  0.330261656181307E+002  0.337698557658444E+002  0.345019673149860E+002  0.352180901382934E+002  0.359157355743177E+002  0.365942641734991E+002  0.372549059991088E+002  0.378987670824820E+002  0.385235880247435E+002  0.391242858774728E+002  0.396983342490421E+002  0.402447902232313E+002  0.407645356365788E+002  0.412595311312113E+002  0.417359069431639E+002  0.421876165096773E+002  0.426044324414803E+002  0.429738498845650E+002  0.432709098675385E+002  0.434757851494388E+002  0.436654614645018E+002  0.439005876813866E+002  0.442073120570837E+002  0.445717054159796E+002  0.449517859195871E+002  0.452887662331081E+002  0.455800282877912E+002  0.461266328154562E+002  0.469400366180911E+002  0.478736158440007E+002  0.488609815881889E+002  0.498551964986311E+002  0.505766341240275E+002  0.509791202324474E+002  0.510075630657206E+002  0.506301424278919E+002  0.497335115880636E+002  0.475569242492276E+002  0.436695867843352E+002  0.373632196703305E+002  0.266001890052246E+002 -0.796529916438258E+000 -0.604599116951771E+000  0.000000000000000E+000  0.604599116951771E+000 -0.796529916438258E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.616000000000000E-001 -0.187347087106310E-001  0.816476587505547E-002  0.712480011979782E-001  0.175876250616489E+000  0.320863831515312E+000  0.510024231410556E+000  0.747235219654650E+000  0.102106433092097E+001  0.131945700045281E+001  0.163975701059448E+001  0.198588477380961E+001  0.235951984189522E+001  0.276179733065246E+001  0.319366531486538E+001  0.365622067329048E+001  0.414991819343252E+001  0.467646174565922E+001  0.523674399297196E+001  0.583149558168404E+001  0.646089166046460E+001  0.712304758196527E+001  0.782130029663068E+001  0.854787689467473E+001  0.931069815012876E+001  0.101068030273726E+002  0.109327014927528E+002  0.117875602069510E+002  0.126683411067056E+002  0.135745355455340E+002  0.144908931875764E+002  0.154527852403469E+002  0.163753843303226E+002  0.173993408229766E+002  0.183193343529980E+002  0.193541535727284E+002  0.202778346150539E+002  0.212547244013051E+002  0.221714741757983E+002  0.231040988343055E+002  0.240084382498715E+002  0.249044691769523E+002  0.257818087494235E+002  0.266487974011577E+002  0.274979360687668E+002  0.283354576098012E+002  0.291566937813830E+002  0.299600212323036E+002  0.307451509513495E+002  0.315134022024791E+002  0.322709578987451E+002  0.330184324277395E+002  0.337624353864442E+002  0.344948921224623E+002  0.352113874016590E+002  0.359094239605750E+002  0.365883461030058E+002  0.372493493985450E+002  0.378934575181361E+002  0.385186836583531E+002  0.391198662689905E+002  0.396944512610897E+002  0.402414765395136E+002  0.407618012771306E+002  0.412573532165288E+002  0.417342204436308E+002  0.421862729519770E+002  0.426030930727643E+002  0.429716416313111E+002  0.432658817729806E+002  0.434723148285127E+002  0.436666389435417E+002  0.439053081069459E+002  0.442156291832679E+002  0.445822674122229E+002  0.449633145680477E+002  0.452996274619442E+002  0.455892177659690E+002  0.461354506690842E+002  0.469486667224861E+002  0.478822219269126E+002  0.488699482432139E+002  0.498655155886178E+002  0.505874686616796E+002  0.509900359055360E+002  0.510185503373018E+002  0.506400746976865E+002  0.497438649910008E+002  0.475677060185927E+002  0.436799374244391E+002  0.373721474450103E+002  0.266065756758529E+002 -0.684547104010285E+000 -0.728968629222912E+000  0.000000000000000E+000  0.728968629222912E+000 -0.684547104010285E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
